"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term","Marital status"
"29","Ansari","Reza"," 1973, Darab","Ph.D. in Technology Management",NA,"Fars","62291","116629","53/4","Darab, Zarrin Dasht","Faculty Member of Esfahan University","10th Term",NA
"30","Ardishir Larijani","Ali"," 1957, Najaf","Ph.D. in Philosophy","8th Term, 9th Term","Qom","191329","443797","43/11","Qom","Minister of Culture and Islamic Guidance, Head of IRIB, Secretary of Supreme National Security Council","10th Term",NA
"31","Aref","Mohammad Reza"," 1951, Yazd","Ph.D. in Electrical Engineering",NA,"Tehran","1608926","3244056","49/59","Tehran, rey, Shemiranat, Eslamshahr, Pardis","First VP, Minister of Communications and Information Technology","10th Term",NA
"32","Asadi karam","Ali"," 1964, Shahrbabak","MA in Public Management",NA,"Kerman","16956","44481","38/11","Shahrbabak","Education Ministry Director","10th Term",NA
"33","Ashouri Taziyani","Mohammad"," 1962, Bandar-E-Abbas","Ph.D.","7th Term, 8th Term, 9th Term","Hormozgan","127369","362042","35/18","Bandar-E-Abbas, Qeshm, Abu Musa, Hajiabad, Khamir","Deputy Provincial Governor for Political and Security Affairs","10th Term",NA
"34","Azadikhah","Ahad"," 1975, Malayer","Graduate of Grade IV of Islamic Jurisprudence-Hawza",NA,NA,"34313","67867","50/55","Malayer","Director General of Islamic Propagation Organization","10th Term",NA
"35","Azizi","Abdolreza"," 1968, Shirvan","Medical Doctor (M.D.)","9th Term","North Khorasan","27179","80118","33/92","Shirvan","Director General of Welfare Organization in North Khorassan Province","10th Term",NA
"36","Azizi","Mohammad"," 1975, Azadshahr","Ph.D.  in  Management",NA,"Zanjan","37693","73002","51/63","Abhar, Khoramdareh, Soltanieh","Governor of Abhar, Zanjan Mayor","10th Term",NA
"37","Babaei Saleh","Rouhollah"," 1978, Ardaq","MA in History, BA in Management and Development Planning",NA,"Qazvin","33486","86441","38/73","Buinzahra, Avaj","Teaching at University","10th Term",NA
"38","Badamchi","Mohammad Reza"," 1951, Tabriz","MA in Management",NA,"Tehran","1261252","3244056","38/87","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Industrial Development & Renovation Organization of Iran (IDRO)","10th Term",NA
"39","Badri","Sodaif"," 1972, Garmi","MS in Civil Engineering (Structures)",NA,NA,"87730","275722","31/81","Ardabil, Nemin, Nir, Sarein","Ardabil Mayor","10th Term",NA
"40","Bahadouri","Seyed Hadi"," 1978, Urmia","Ph.D. in Civil Engineering",NA,"West Azarbaijan","220197","354108","62/18","Urmia","Faculty Member of University","10th Term",NA
"41","Bahmani","Mahmoud"," 1326, Savojbolaq","Ph.D. in Economics",NA,"Alborz","50105","159634","31/38","Savojbolaq, Nazarabad, Taleqan","President of Central Bank","10th Term",NA
"42","Bahram nia","Hassan"," 1964, Nhavand","Ph.D. in Geography and Urbun Planning",NA,NA,"31132","90423","34/42","Nhavand","Chief Engineer at NIOC Salman Project","10th Term",NA
"43","Bakhtiyar","Ali"," 1973, Golpaygan","MS in  in Information Technology Management",NA,"Esfahan","14371","52651","27/29","Khansar, Golpaygan","Oil Chief Inspector at Office of the Ombudsman","10th Term",NA
"44","Bakhtiyari","Ali"," 1957, Baft","MA in Public Management",NA,"Kerman","21573","79152","27/25","Baft, Rabar, Arzuiyeh","CEO of Bazargostar Pegah Company","10th Term",NA
"45","Banaei","Hamid"," 1967, Gonabad","Ph.D. in Strategic Management",NA,"Khorasan Razavi","19901","71047","28/01","Gonabad, Bajestan","CEO","10th Term",NA
"46","Baouj Lahouti","Mehrdad"," 1961, Langrud","BA in management","8th Term, 9th Term","Gilan","28846","75733","38/08","Langrud","Director General of Rural and Urban Affairs at Langroud, Ivandareh City Council","10th Term",NA
"47","Barzegar Kalshani","Shahrouz"," 1975, Salmas","MA in International Relations",NA,"West Azarbaijan","39809","71874","55/38","Salmas","Teaching at University","10th Term",NA
"48","Bastani","Saeed"," 1971, Torbat-E-Heydariyeh","Ph.D. in Polymer Engineering",NA,"Khorasan Razavi","66641","107522","61/97","Torbat-E-Heydariyeh, Zaveh, Mahvelat","Faculty Member of  University","10th Term",NA
"49","Bet Kolia","Yonathan"," 1951, Urmia","Hoteling management","6th Term, 7th Term, 8th Term, 9th Term",NA,"2212","3805","58/13","Assyrians","Secretary General of  Assyrian Universal Alliance","10th Term",NA
"50","Bighdeli","Ahmad"," 1976, Zanjan","Doctor of Dental Medicine",NA,"Zanjan","39081","73371","53/26","Khodabandeh","Dentist","10th Term",NA
"51","Bighlari","Mohsen"," 1974, Kurdistan","Ph.D. in Public Management","9th Term",NA,"58670","140708","41/69","Baneh, Saqqez","Chancellor of Technical and Vocational University of Sanandaj","10th Term",NA
"52","Bimeghdar","Shahaboddin"," 1953, Varzeqan","BS in Mechanical Engineering","First Term, Second Term","East Azarbaijan","111759","312840","35/72","Azarshahr, Osku, Tabriz","CEO of International Transport Company","10th Term",NA
"53","Biranvandi","Mohammad"," 1970, Khoramabad","Ph.D. in Persian Language and Literature",NA,"Lorestan","78005","177375","43/97","Khoramabad, Doreh Chegeni","Teaching at University","10th Term",NA
"54","Bonyadi","Behrouz"," 1970, Gonbad Kavus","M.D., Internist, Pediatric ID Specialist",NA,"Khorasan Razavi","48660","162215","29/99","Bardaskan,Kashmar, Khalilabad","Physician, Faculty Member of  University","10th Term",NA
"55","Broujerdi","Alaoddin"," 1329, Lar","MA in International Relations","6th Term, 7th Term, 8th Term, 9th Term","Lorestan","41951","103829","39/8","Borujerd, Ashtarinan","Deputy Minister of Foreign Affairs","10th Term",NA
"56","Broumandi","Mohammad Mahdi"," 1973, Marvdasht","MA in Political Science","9th Term","Fars","55796","186343","29/94","Marvdasht, Arsanjan, Pasargad","Governor","10th Term",NA
"57","Chenerani","Hajar"," 1978, Neyshabur","MA in Sociology",NA,"Khorasan Razavi","75384","238711","31/57","Neyshabur, Firuzeh","Teaching at University","10th Term",NA
"58","Dadashi","Vali"," 1981, Astara","MA in Divinity",NA,"Gilan","14173","49729","28/5","Astara","Teaching at University","10th Term",NA
"59","Damadi","Mohammad"," 1979, Sari","MS in Civil Engineering (Structures)","9th Term","Mazandaran","67158","256329","26/19","Sari, Dorudmyan","Teaching at University, Member of Islamic City Council","10th Term",NA
"60","Davoudi","youssef"," 1964, Sarab","M.D., Internist",NA,"East Azarbaijan","31158","54056","57/64","Sarab, Mehraban","Teaching at University","10th Term",NA
"61","Dehghani firouzabadi","Kamal"," 1964, Maybod Yazd","Ph.D. in International Relations",NA,"Yazd","27480","68334","40/21","Taft, Maybod","Diplomat","10th Term",NA
"62","Dehghani Naghandar","Mohammad"," 1962, Mashhad","Ph.D. in Private Law","7th Term, 8th Term, 9th Term","Khorasan Razavi","39062","121425","32/16","Chenaran, Torqabeh,  Shandiz","Deputy Head of Basiji Students Organization for Political Affairs","10th Term",NA
"63","Dehmarde","Habib allah"," 1952, Zabol","Ph.D. in Applied Mathematics",NA,NA,"114439","186696","61/29","Zabol, Zahak, Hamoun,  Nimrouz, Hirmand","Faculty Member of Sistan and Baluchestan University, Lorestan Provincial Governor","10th Term",NA
"64","Delkhosh Abateri","Seyed Kazem"," 1961, Tehran","Ph.D. in Cultural Strategy Management","7th Term, 8th Term","Gilan","35906","83045","43/23","Someh Sara","Employee of Interior Ministry","10th Term",NA
"65","Derazhi","Mohammad Baset"," 1980, Saravan","MA in English Literature",NA,NA,"60347","122144","49/4","Saravan, Sib, Suran, Mehrestan","Teaching at University","10th Term",NA
"66","Eazazi Maleki","Ziyaollah"," 1965, Miandoab","MA","8th Term","East Azarbaijan","26383","74688","35/32","Bonab","Security Chief at Farhangian University","10th Term",NA
"67","Ebadi","Seyed Mohammad bagher"," 1970, Birjand","MA in Divinity","9th Term","South Khorasan","59361","180370","32/91","Birjand, Khusf, Darmyan","Faculty Member of Birjand University","10th Term",NA
"68","Eftekhari","Mohammad Mahdi"," 1973, Rasht","MA in Law, Minoring in Registration Affairs",NA,"Gilan","33647","111387","30/2","Shaft, Fouman","Head of Cultural Affairs of Guilan Province Ports and Maritime Organization","10th Term",NA
"69","Ekhtiyariye Kasnavieh Yazd","Isfandiar"," 1966, Yazd","Ph.D. in Textile Technology, Ph.D. in Management","8th Term, 9th Term",NA,"3966","6672","59/44","Zoroastrians","Director General of Research Center of Yazd University","10th Term",NA
"70","Falahat pishe","Heshmatollah"," 1971, Eslamabadgharb","Ph.D. in Political Science","7th Term, 8th Term","Kermanshah","53369","118000","45/22","Eslamabadgharb, Dalahu","Teaching at University, Journalist","10th Term",NA
"71","Falahati","Farhad"," 1972, Ghayen","MA in Persian Language and Literature",NA,"South Khorasan","30012","85216","35/21","Ghayenat, Zirkouh","Governor","10th Term",NA
"72","Farhangi","Mohammad Hossein"," 1961,Tabriz","MA in Public Management, Ph.D. in Jurisprudence and Islamic Law","7th Term, 8th Term, 9th Term","East Azarbaijan","116226","312840","37/15","Azarshahr, Osku, Tabriz","Faculty Member of  University","10th Term",NA
"73","Farmand","Fardin"," 1956, Mianeh","Ph.D. in Planning Management",NA,"East Azarbaijan","24996","94566","26/43","Mianeh","Teaching at University","10th Term",NA
"74","Farshadan","Seyed Mahdi"," 1974, Sanandaj","Medical Doctor (M.D.)",NA,NA,"54472","212164","25/67","Sanandaj, Divandareh, Kamyaran","Physician","10th Term",NA
"75","Fathi","Mohammad Javad"," 1965, Ramhormoz","Ph.D. in Criminal Law and Criminology",NA,"Tehran","1139710","3244056","35/13","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at University","10th Term",NA
"76","Feyzi","Mohammad"," 1981, Ardabil","Ph.D. in Public Management",NA,NA,"76145","198910","55/65","Ardabil, Nemin, Nir, Sarein","Faculty Member of  University","10th Term",NA
"77","Fouladgar","Hamid Reza"," 1959, Esfahan","Ph.D. in Industrial Engineering","7th Term, 8th Term, 9th Term","Esfahan","200690","671471","29/88","Esfahan","Faculty Member of  University","10th Term",NA
"78","Garmabi","Hamid"," 1961, Neyshabur","Ph.D. in Chemical Engineering",NA,"Khorasan Razavi","75686","238711","31/7","Neyshabur, Shahr-E-Firuzeh","Polymer Faculty Dean of Amir Kabir University","10th Term",NA
"79","Ghare Khani Aloustani","Asadollah"," 1959, Aliabad-E-Katul","Ph.D. of Oil and Gas","7th Term, 8th Term","Golestan","44559","85476","52/13","Aliabad-E-Katul, Bakhsh-E-Kamalan","Employee of  Petroleum Ministry","10th Term",NA
"80","Ghavami","Hadi"," 1967, Esfarayen","Ph.D. in Economics","8th Term, 9th Term","North Khorasan","24195","71608","33/78","Esfarayen","Faculty Member of Ferdowsi University","10th Term",NA
"81","Ghazi pour","Nader"," 1958, Urmia","MA in Management","8th Term, 9th Term","West Azarbaijan","169098","429321","39/38","Urmia","West Azarbaijan Provincial Governor","10th Term",NA
"82","Ghazi Zade Hashemi","Seyed Amir Hossein"," 1971, Fariman","M.D., ENT Specialist","8th Term, 9th Term","Khorasan Razavi","385635","1071666","35/98","Mashhad, Kalat","Chancellor of Semnan University of Medical Sciences","10th Term",NA
"83","Ghazi Zade Hashemi","Seyed Ehsan"," 1976, Fariman","Ph.D.in International Law",NA,"Khorasan Razavi","36707","197500","27/11","Fariman, Sarakhs, Razavieh, Ahmadabad","Director General of Culture and Islamic Guidance Department","10th Term",NA
"84","Ghorbani","Ali"," 1972, Maneh-Samalqan","Ph.D. in Geography and Rural Planning",NA,"North Khorasan","99219","260555","38/07","Bojnord, Maneh, Samalqan, Karme, Jajarm, Raz, Jarkan","Director General for Rural and Council Affairs of North Khorassan  Governorship","10th Term",NA
"85","Ghorbani","Mohammad Hossein"," 1965, Astaneh Ashrafieh","Medical Doctor (M.D.)","9th Term","Golestan","19311","54574","35/38","Astaneh Ashrafieh, Bandar-E-Kiashahr","Physician","10th Term",NA
"86","Gilani","Sohrab"," 1960, Shushtar","MA in Management",NA,"Khuzestan","36949","131417","28/11","Shushtar, Gotvand","Deputy Head of Basij Organization for Planning and Budgeting","10th Term",NA
"87","Gol Moradi","Ali"," 1970, Darreh Shahr","Ph.D. in Human Resources Management",NA,"Khuzestan","60133","104950","57/29","Bandar-E-mahshahr, Omidiyeh, Hendijan, Joulki, Bandar-EImam Khomeyni","Mayor, Chancellor of University of Applied Science and Technology","10th Term",NA
"88","Goudarzi","Abbas"," 1977, Borujerd","MA in Political Science",NA,"Lorestan","47156","103829","45/41","Borujerd, Ashtarinan","Director General of Cultural Heritage Organization for Logistics Affairs","10th Term",NA
"89","Goudarzi","Masoud"," 1974, Mamasani","Ph.D. in Political Science",NA,"Fars","55995","92032","60/84","Mamasani, Rostam","Deputy Head of International Information Center of  Interior Ministry","10th Term",NA
"90","Haji Babaei","Hamid Reza"," 1959, Hamedan","Ph.D.","5th Term, 6th Term, 7th Term, 8th Term",NA,"195443","268739","49/61","Hamedan,  Famenin","Minister of Education","10th Term",NA
"91","Haji Deligani","Hoseinali"," 1962, Esfahan","MA in Public Management","9th Term","Esfahan","60411","116885","51/68","Barkhar, Meimeh,Shahinshahr","Deputy Governor","10th Term",NA
"92","Hamzeh","Ahmad"," 1961, Jiroft","M.D.",NA,"Kerman","36955","89192","41/43","Kahnooj, Ghaleh-Ganj, Faryab, Manoojan,Roudbar-E-Jonob","Physician","10th Term",NA
"93","Hashemi pour","Adl"," 1961, Kohgiluyeh","BS in Mechanical",NA,NA,"58573","197960","43/11","Kohgiluyeh, Bahmaei, Charam, Lande","IRGC Member","10th Term",NA
"94","Hashemi takhti","Hossein"," 1961, Bandar-E-Abbas","MA in Sociology",NA,"Hormozgan","177826","362042","49/11","Bandar-E-Abbas, Qeshm, Abu Musa, Hajiabad, Khamir","Hormozgan Provincial Governor","10th Term",NA
"95","Hashemi","Homayoun"," 1966, Takab","Medical Doctor (M.D)",NA,"West Azarbaijan","61520","177878","34/58","Shahin Dej, Miandoab, Takab","Adviser to Minister of Cooperatives, Labour, and Social Welfare","10th Term",NA
"96","Hashemzaei","Abdolreza"," 1944, Khur","BS in Electrical Engineering",NA,"Tehran","1078817","3244056","33/25","Tehran, rey, Shemiranat, Eslamshahr, Pardis","CEO of National Iranian Copper Company","10th Term",NA
"97","Hassan Beygi","Abolfazl"," 1958, Damghan","MA in Political Science","Third Term, 4th Term","Semnan","17244","49401","34/9","Damghan","Employee of Petroleum Ministry","10th Term",NA
"98","Hassan nejad","Mohammad"," 1981, Jolfa","Ph.D. in Financial Management","9th Term","East Azarbaijan","59925","119381","50/19","Jolfa, Marand","Faculty Member of Shahid Beheshti University","10th Term",NA
"99","Hassani Jouriyabi","Mohammad Sadegh"," 1965, Rasht","Ph.D. in Economics",NA,"Gilan","50406","131970","38/37","Rasht","Director General for Financial Affairs of Ministry of Economy and Finance","10th Term",NA
"100","Hassanpour Biglari","Shahbaz"," 1961, Sirjan","MA in Management","8th Term, 9th Term","Kerman","54970","144694","37/99","Bardsir, Sirjan","CEO of Kerman Housing Construction Company","10th Term",NA
"101","Hassanvand","Fereydoun"," 1965, Dorud","Ph.D.","6th Term, 7th Term, 8th Term","Khuzestan","39093","96099","40/67","Andimeshk","Bushire Provincial Governor","10th Term",NA
"102","Hatamiyan","Abdollah"," 1970","MA in Economics",NA,"Khorasan Razavi","11920","41860","28/47","Dargaz","Employee of Agricultural Jihad","10th Term",NA
"103","Hazrat pourtalatapeh","Rouhollah"," 1983, Urmia","MA in International  Law",NA,"West Azarbaijan","209705","354108","59/22","Urmia","Member of Urmia City Council","10th Term",NA
"104","Hazrati","Elyas"," 1961, Hashtrud","MA in Public management","Third Term, 4th Term, 5th Term, 6th Term","Tehran","1296580","3244056","39/96","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Journalist","10th Term",NA
"105","Hemati","Ahmad"," 1962, Semnan","M.D., Pediatrician & Neonatologist",NA,"Semnan","31771","85656","37/09","Semnan, Mahdishahr, Sorkhe","Pediatrician","10th Term",NA
"106","Heydari","Gholamreza"," 1955, Chalus","Ph.D. in Policy Management","Second Term, Third Term","Tehran","1180095","3244056","36/37","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of Niroo Research Institute","10th Term",NA
"107","Hezar jaribi","Nabi"," 1975, Gorgan","Ph.D. in Management",NA,"Golestan","78001","167800","46/48","Agh Ghala, Gorgan","Vice-Chairman of Goran Islamic City Council","10th Term",NA
"108","Hosseini Kia","Seyed Javad"," 1972, Sonqor","BA in Philosophy, Graduate of High Level of Islamic Jurisprudence and Principles -Hawza",NA,"Kermanshah","14785","27491","53/78","Sonqor, Kolayaei","Director General of Education at Imam Khomeini Education and Research Institute","10th Term",NA
"109","Hosseini(Shahrudi)","Seyed Hassan"," 1960, Shahrud","Ph.D. in Energy Systems Engineering",NA,"Semnan","49970","121997","40/96","Shahrud, Miami","Teaching at University","10th Term",NA
"110","Hosseini","Mohammad"," 1968, Farahan","MA in Public management",NA,"Markazi","13042","48463","26/91","Ashtyan, Tafresh,  Farahan","Director General of Planning and Audit Court","10th Term",NA
"111","Hosseini","Seydeh Fatemeh"," 1985, Shiraz","Ph.D. in Financial Management",NA,"Tehran","1218727","3244956","37/56","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Manager and Financial Advisor","10th Term",NA
"112","Hosseinzadeh Bahreyni","Mohammad Hossein"," 1962, Mashhad","Ph.D. in Economics, Graduate of High Level of Islamic Jurisprudence and Principles -Hawza","9th Term","Khorasan Razavi","355911","1071666","33/21","Mashhad, Kalat","Faculty Member of Ferdowsi University","10th Term",NA
"113","Hosseinzadeh","Abdolkarim"," 1980,Naghadeh","MA in Urban Planning","9th Term","West Azarbaijan","61972","118624","52/24","Oshnavieh, Naghadeh","CEO of Architecture and Urban Development Company (Inc.)","10th Term",NA
"114","Ibrahimi","Ali"," 1967, Pakal","MA in Genetics",NA,"Markazi","23536","43885","53/63","Shazand","Deputy Head of Agricultural Jihad Organization in Markazi Province","10th Term",NA
"115","Ibrahimi","Ali reza"," 1976, Aliabad-E-Katul","MA",NA,"Golestan","27083","100248","27/01","Ramyan, Azadshahr","Cultural Activist","10th Term",NA
"116","Iran nejad","Abdolghafour"," 1956, Pozm","Associate Degree of Urban Design","4th Term, 6th Term, 7th Term",NA,"82473","201948","40/83","Chabahar, Nikshahr, Konarak, Qasr-E- Qand","Board of Directors of Jahad Esteghlal Institute","10th Term",NA
"117","Ismaeili","Ali"," 1961, Nour","Ph.D. in Management",NA,"Mazandaran","36891","198433","27/05","Mahmoudabad, Nour","Faculty Member of Islamic Azad University","10th Term",NA
"118","Ismaeili","Daryoush"," 1966, Shiraz","Ph.D. in Geology","9th Term","Fars","56589","98378","57/52","Sarvestan, Kharameh, Kovar","Teaching at Tehran University","10th Term",NA
"119","Jafar Pour","Jamshid"," 1963, Larestan","Ph.D. in Jurisprudence and Islamic Law","9th Term","Fars","38766","119926","34/09","Larestan, Khonj, Gerash","Faculty Member of  University","10th Term",NA
"120","Jafarzadeh Iman Abadi","Gholamali"," 1966, Tehran","Ph.D. in Civil Engineering","9th Term","Gilan","90921","259442","35/04","Rasht","Manager of War Disabled Foundation in Gilan","10th Term",NA
"121","Jalali","Kazem"," 1967, Shahkuh Olya","Ph.D. in Political Science","6th Term, 7th Term, 8th Term, 9th Term","Tehran","1292686","3244056","39/84","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Foreign Ministry  Politics Expert","10th Term",NA
"122","Jamali nobandegan","Mohamma Javad"," 1963, Fasa","M.D., General Surgeon",NA,"Fars","44403","102339","43/38","Fasa","Head of  Najmiyeh Hospital","10th Term",NA
"123","Jamali Sousfi","Monouchehr"," 1965, Rudbar","Medical Doctor (M.D)",NA,"Gilan","28370","49676","57/11","Rudbar","Member of Rasht City Council","10th Term",NA
"124","Jasemi","Seyed Qasem"," 1965, Kermanshah","MA in Geography and  Planning",NA,"Kermanshah","106454","336148","31/66","Kermanshah","IRGC Member","10th Term",NA
"125","Jelodarzadeh","Soheila"," 1958, Shahr-E-rey","BS in Textile engineering","5th Term, 6th Term, 7th Term","Tehran","1954327","3244056","41/1","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Adviser to Minister of Industry, Mine and Trade","10th Term",NA
"126","Kabi","Amer"," 1971, Abadan","Ph.D. in Applied Mathematics",NA,"Khuzestan","27706","97406","28/44","Abadan","Teaching at University","10th Term",NA
"127","Kabiri","Seyed taghi"," 1965, Khoy","Ph.D.",NA,"West Azarbaijan","73694","192029","38/37","Khoy, Chaypareh","Faculty Member of  University","10th Term",NA
"128","Kamalipour","Yahya"," 1969, Jiroft","Ph.D. in Criminal Law and Criminology",NA,"Kerman","71739","152416","47/06","Jiroft, Anbar abad","Head of Court of Common Pleas in Kerman Province; Deputy Head of Court of Common Pleas in Kerman Province for Judicial Affairs","10th Term",NA
"129","Karam pour Haghighi","Kourosh"," 1958, Firouzabad Fars","MA in Defense Management",NA,"Fars","48973","141874","34/51","Firouzabad, Ghir, Karzin, Farashband","IRGC Member","10th Term",NA
"130","Karimi Ghodousi","Javad"," 1955, Mashhad","MA in General Law","8th Term, 9th Term","Khorasan Razavi","326273","1071666","30/44","Mashhad, Kalat","Basij Commander at Khorassan Razavi Province","10th Term",NA
"131","Karimi","Aliakbar"," 1968, Arak","Ph.D. in Strategic Management",NA,"Markazi","103117","265758","38/8","Arak, Komijan, Khandab","Zanjan Deputy Provincial Governor for Development Affairs Coordination","10th Term",NA
"132","Karimi","Hamdollah"," 1980, Bijar","MA in General Law",NA,NA,"15919","48654","32/71","Bijar","Governor of Bijar","10th Term",NA
"133","Karimi","Reza"," 1970, Ardabil","MA in Public Management",NA,NA,"86839","275722","31/49","Ardabil, Nemin, Nir, Sarein","Official in Ardabil Governorship","10th Term",NA
"134","Kateb","Gholamreza"," 1962, Garmsar","Ph.D. in Planning Management","9th Term","Semnan","23668","44943","52/66","Garmsar, Aradan","Vice Chancellor of Payam Nour University for Planning and Development","10th Term",NA
"135","Kavakebiyan","Mostafa"," 1962, Semnan","Ph.D.in Political Science","8th Term","Tehran","1260174","3244056","38/84","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Faculty Member of  Allameh Tabatabai University","10th Term",NA
