"","Last name","Name","Date and Place of birth","Education","Parliamentary Experience","Province","Votes","Total Votes","Percentage","Constituency","Career backgrounds","Term"
"47","Barzegar Kalshani","Shahrouz"," 1975, Salmas","MA in International Relations",NA,"West Azarbaijan","39809","71874","55/38","Salmas","Teaching at University","10th Term"
"48","Bastani","Saeed"," 1971, Torbat-E-Heydariyeh","Ph.D. in Polymer Engineering",NA,"Khorasan Razavi","66641","107522","61/97","Torbat-E-Heydariyeh, Zaveh, Mahvelat","Faculty Member of  University","10th Term"
"49","Bet Kolia","Yonathan"," 1951, Urmia","Hoteling management","6th Term, 7th Term, 8th Term, 9th Term",NA,"2212","3805","58/13","Assyrians","Secretary General of  Assyrian Universal Alliance","10th Term"
"50","Bighdeli","Ahmad"," 1976, Zanjan","Doctor of Dental Medicine",NA,"Zanjan","39081","73371","53/26","Khodabandeh","Dentist","10th Term"
"51","Bighlari","Mohsen"," 1974, Kurdistan","Ph.D. in Public Management","9th Term",NA,"58670","140708","41/69","Baneh, Saqqez","Chancellor of Technical and Vocational University of Sanandaj","10th Term"
"52","Bimeghdar","Shahaboddin"," 1953, Varzeqan","BS in Mechanical Engineering","First Term, Second Term","East Azarbaijan","111759","312840","35/72","Azarshahr, Osku, Tabriz","CEO of International Transport Company","10th Term"
"53","Biranvandi","Mohammad"," 1970, Khoramabad","Ph.D. in Persian Language and Literature",NA,"Lorestan","78005","177375","43/97","Khoramabad, Doreh Chegeni","Teaching at University","10th Term"
"54","Bonyadi","Behrouz"," 1970, Gonbad Kavus","M.D., Internist, Pediatric ID Specialist",NA,"Khorasan Razavi","48660","162215","29/99","Bardaskan,Kashmar, Khalilabad","Physician, Faculty Member of  University","10th Term"
"55","Broujerdi","Alaoddin"," 1329, Lar","MA in International Relations","6th Term, 7th Term, 8th Term, 9th Term","Lorestan","41951","103829","39/8","Borujerd, Ashtarinan","Deputy Minister of Foreign Affairs","10th Term"
"56","Broumandi","Mohammad Mahdi"," 1973, Marvdasht","MA in Political Science","9th Term","Fars","55796","186343","29/94","Marvdasht, Arsanjan, Pasargad","Governor","10th Term"
"57","Chenerani","Hajar"," 1978, Neyshabur","MA in Sociology",NA,"Khorasan Razavi","75384","238711","31/57","Neyshabur, Firuzeh","Teaching at University","10th Term"
"58","Dadashi","Vali"," 1981, Astara","MA in Divinity",NA,"Gilan","14173","49729","28/5","Astara","Teaching at University","10th Term"
"59","Damadi","Mohammad"," 1979, Sari","MS in Civil Engineering (Structures)","9th Term","Mazandaran","67158","256329","26/19","Sari, Dorudmyan","Teaching at University, Member of Islamic City Council","10th Term"
"60","Davoudi","youssef"," 1964, Sarab","M.D., Internist",NA,"East Azarbaijan","31158","54056","57/64","Sarab, Mehraban","Teaching at University","10th Term"
"61","Dehghani firouzabadi","Kamal"," 1964, Maybod Yazd","Ph.D. in International Relations",NA,"Yazd","27480","68334","40/21","Taft, Maybod","Diplomat","10th Term"
"62","Dehghani Naghandar","Mohammad"," 1962, Mashhad","Ph.D. in Private Law","7th Term, 8th Term, 9th Term","Khorasan Razavi","39062","121425","32/16","Chenaran, Torqabeh,  Shandiz","Deputy Head of Basiji Students Organization for Political Affairs","10th Term"
"63","Dehmarde","Habib allah"," 1952, Zabol","Ph.D. in Applied Mathematics",NA,NA,"114439","186696","61/29","Zabol, Zahak, Hamoun,  Nimrouz, Hirmand","Faculty Member of Sistan and Baluchestan University, Lorestan Provincial Governor","10th Term"
"64","Delkhosh Abateri","Seyed Kazem"," 1961, Tehran","Ph.D. in Cultural Strategy Management","7th Term, 8th Term","Gilan","35906","83045","43/23","Someh Sara","Employee of Interior Ministry","10th Term"
"65","Derazhi","Mohammad Baset"," 1980, Saravan","MA in English Literature",NA,NA,"60347","122144","49/4","Saravan, Sib, Suran, Mehrestan","Teaching at University","10th Term"
"66","Eazazi Maleki","Ziyaollah"," 1965, Miandoab","MA","8th Term","East Azarbaijan","26383","74688","35/32","Bonab","Security Chief at Farhangian University","10th Term"
"67","Ebadi","Seyed Mohammad bagher"," 1970, Birjand","MA in Divinity","9th Term","South Khorasan","59361","180370","32/91","Birjand, Khusf, Darmyan","Faculty Member of Birjand University","10th Term"
"68","Eftekhari","Mohammad Mahdi"," 1973, Rasht","MA in Law, Minoring in Registration Affairs",NA,"Gilan","33647","111387","30/2","Shaft, Fouman","Head of Cultural Affairs of Guilan Province Ports and Maritime Organization","10th Term"
"69","Ekhtiyariye Kasnavieh Yazd","Isfandiar"," 1966, Yazd","Ph.D. in Textile Technology, Ph.D. in Management","8th Term, 9th Term",NA,"3966","6672","59/44","Zoroastrians","Director General of Research Center of Yazd University","10th Term"
"70","Falahat pishe","Heshmatollah"," 1971, Eslamabadgharb","Ph.D. in Political Science","7th Term, 8th Term","Kermanshah","53369","118000","45/22","Eslamabadgharb, Dalahu","Teaching at University, Journalist","10th Term"
"71","Falahati","Farhad"," 1972, Ghayen","MA in Persian Language and Literature",NA,"South Khorasan","30012","85216","35/21","Ghayenat, Zirkouh","Governor","10th Term"
"72","Farhangi","Mohammad Hossein"," 1961,Tabriz","MA in Public Management, Ph.D. in Jurisprudence and Islamic Law","7th Term, 8th Term, 9th Term","East Azarbaijan","116226","312840","37/15","Azarshahr, Osku, Tabriz","Faculty Member of  University","10th Term"
"73","Farmand","Fardin"," 1956, Mianeh","Ph.D. in Planning Management",NA,"East Azarbaijan","24996","94566","26/43","Mianeh","Teaching at University","10th Term"
"74","Farshadan","Seyed Mahdi"," 1974, Sanandaj","Medical Doctor (M.D.)",NA,NA,"54472","212164","25/67","Sanandaj, Divandareh, Kamyaran","Physician","10th Term"
"75","Fathi","Mohammad Javad"," 1965, Ramhormoz","Ph.D. in Criminal Law and Criminology",NA,"Tehran","1139710","3244056","35/13","Tehran, rey, Shemiranat, Eslamshahr, Pardis","Teaching at University","10th Term"
"76","Feyzi","Mohammad"," 1981, Ardabil","Ph.D. in Public Management",NA,NA,"76145","198910","55/65","Ardabil, Nemin, Nir, Sarein","Faculty Member of  University","10th Term"
"77","Fouladgar","Hamid Reza"," 1959, Esfahan","Ph.D. in Industrial Engineering","7th Term, 8th Term, 9th Term","Esfahan","200690","671471","29/88","Esfahan","Faculty Member of  University","10th Term"
"78","Garmabi","Hamid"," 1961, Neyshabur","Ph.D. in Chemical Engineering",NA,"Khorasan Razavi","75686","238711","31/7","Neyshabur, Shahr-E-Firuzeh","Polymer Faculty Dean of Amir Kabir University","10th Term"
"79","Ghare Khani Aloustani","Asadollah"," 1959, Aliabad-E-Katul","Ph.D. of Oil and Gas","7th Term, 8th Term","Golestan","44559","85476","52/13","Aliabad-E-Katul, Bakhsh-E-Kamalan","Employee of  Petroleum Ministry","10th Term"
"80","Ghavami","Hadi"," 1967, Esfarayen","Ph.D. in Economics","8th Term, 9th Term","North Khorasan","24195","71608","33/78","Esfarayen","Faculty Member of Ferdowsi University","10th Term"
"81","Ghazi pour","Nader"," 1958, Urmia","MA in Management","8th Term, 9th Term","West Azarbaijan","169098","429321","39/38","Urmia","West Azarbaijan Provincial Governor","10th Term"
"82","Ghazi Zade Hashemi","Seyed Amir Hossein"," 1971, Fariman","M.D., ENT Specialist","8th Term, 9th Term","Khorasan Razavi","385635","1071666","35/98","Mashhad, Kalat","Chancellor of Semnan University of Medical Sciences","10th Term"
"83","Ghazi Zade Hashemi","Seyed Ehsan"," 1976, Fariman","Ph.D.in International Law",NA,"Khorasan Razavi","36707","197500","27/11","Fariman, Sarakhs, Razavieh, Ahmadabad","Director General of Culture and Islamic Guidance Department","10th Term"
"84","Ghorbani","Ali"," 1972, Maneh-Samalqan","Ph.D. in Geography and Rural Planning",NA,"North Khorasan","99219","260555","38/07","Bojnord, Maneh, Samalqan, Karme, Jajarm, Raz, Jarkan","Director General for Rural and Council Affairs of North Khorassan  Governorship","10th Term"
"85","Ghorbani","Mohammad Hossein"," 1965, Astaneh Ashrafieh","Medical Doctor (M.D.)","9th Term","Golestan","19311","54574","35/38","Astaneh Ashrafieh, Bandar-E-Kiashahr","Physician","10th Term"
"86","Gilani","Sohrab"," 1960, Shushtar","MA in Management",NA,"Khuzestan","36949","131417","28/11","Shushtar, Gotvand","Deputy Head of Basij Organization for Planning and Budgeting","10th Term"
"87","Gol Moradi","Ali"," 1970, Darreh Shahr","Ph.D. in Human Resources Management",NA,"Khuzestan","60133","104950","57/29","Bandar-E-mahshahr, Omidiyeh, Hendijan, Joulki, Bandar-EImam Khomeyni","Mayor, Chancellor of University of Applied Science and Technology","10th Term"
"88","Goudarzi","Abbas"," 1977, Borujerd","MA in Political Science",NA,"Lorestan","47156","103829","45/41","Borujerd, Ashtarinan","Director General of Cultural Heritage Organization for Logistics Affairs","10th Term"
"89","Goudarzi","Masoud"," 1974, Mamasani","Ph.D. in Political Science",NA,"Fars","55995","92032","60/84","Mamasani, Rostam","Deputy Head of International Information Center of  Interior Ministry","10th Term"
"90","Haji Babaei","Hamid Reza"," 1959, Hamedan","Ph.D.","5th Term, 6th Term, 7th Term, 8th Term",NA,"195443","268739","49/61","Hamedan,  Famenin","Minister of Education","10th Term"
"91","Haji Deligani","Hoseinali"," 1962, Esfahan","MA in Public Management","9th Term","Esfahan","60411","116885","51/68","Barkhar, Meimeh,Shahinshahr","Deputy Governor","10th Term"
"92","Hamzeh","Ahmad"," 1961, Jiroft","M.D.",NA,"Kerman","36955","89192","41/43","Kahnooj, Ghaleh-Ganj, Faryab, Manoojan,Roudbar-E-Jonob","Physician","10th Term"
"93","Hashemi pour","Adl"," 1961, Kohgiluyeh","BS in Mechanical",NA,NA,"58573","197960","43/11","Kohgiluyeh, Bahmaei, Charam, Lande","IRGC Member","10th Term"
"94","Hashemi takhti","Hossein"," 1961, Bandar-E-Abbas","MA in Sociology",NA,"Hormozgan","177826","362042","49/11","Bandar-E-Abbas, Qeshm, Abu Musa, Hajiabad, Khamir","Hormozgan Provincial Governor","10th Term"
"95","Hashemi","Homayoun"," 1966, Takab","Medical Doctor (M.D)",NA,"West Azarbaijan","61520","177878","34/58","Shahin Dej, Miandoab, Takab","Adviser to Minister of Cooperatives, Labour, and Social Welfare","10th Term"
"96","Hashemzaei","Abdolreza"," 1944, Khur","BS in Electrical Engineering",NA,"Tehran","1078817","3244056","33/25","Tehran, rey, Shemiranat, Eslamshahr, Pardis","CEO of National Iranian Copper Company","10th Term"
"97","Hassan Beygi","Abolfazl"," 1958, Damghan","MA in Political Science","Third Term, 4th Term","Semnan","17244","49401","34/9","Damghan","Employee of Petroleum Ministry","10th Term"
"98","Hassan nejad","Mohammad"," 1981, Jolfa","Ph.D. in Financial Management","9th Term","East Azarbaijan","59925","119381","50/19","Jolfa, Marand","Faculty Member of Shahid Beheshti University","10th Term"
"99","Hassani Jouriyabi","Mohammad Sadegh"," 1965, Rasht","Ph.D. in Economics",NA,"Gilan","50406","131970","38/37","Rasht","Director General for Financial Affairs of Ministry of Economy and Finance","10th Term"
"100","Hassanpour Biglari","Shahbaz"," 1961, Sirjan","MA in Management","8th Term, 9th Term","Kerman","54970","144694","37/99","Bardsir, Sirjan","CEO of Kerman Housing Construction Company","10th Term"
